| Outlet | Email | Date Sent | Response | Status | Follow-up Date | Coverage Link | Notes |
|--------|-------|-----------|----------|--------|----------------|---------------|--------|
| CoinDesk | press@coindesk.com | 2026-01-24 | Pending | Sent | 2026-01-29 | - | Top priority - breaking news potential |
| CoinTelegraph | press@cointelegraph.com | 2026-01-24 | Pending | Sent | 2026-01-29 | - | Strong DeFi coverage history |
| CryptoSlate | contact@cryptoslate.com | 2026-01-24 | Pending | Sent | 2026-01-29 | - | Active in platform launches |
| The Block | press@theblock.co | 2026-01-24 | Pending | Sent | 2026-01-29 | - | Institutional focus |
| Decrypt | press@decrypt.co | 2026-01-24 | Pending | Sent | 2026-01-29 | - | Growing DeFi audience |
| Crypto Briefing | contact@cryptobriefing.com | 2026-01-25 | Pending | Queued | 2026-01-30 | - | Second tier |
| AMBCrypto | contact@ambcrypto.com | 2026-01-25 | Pending | Queued | 2026-01-30 | - | Regional coverage |
| CryptoPotato | contact@cryptopotato.com | 2026-01-25 | Pending | Queued | 2026-01-30 | - | News focused |
| BeInCrypto | press@beincrypto.com | 2026-01-25 | Pending | Queued | 2026-01-30 | - | Multi-language |
| CryptoGlobe | contact@cryptoglobe.com | 2026-01-25 | Pending | Queued | 2026-01-30 | - | Emerging markets |
| CoinMarketCap | announcements@coinmarketcap.com | 2026-01-26 | Pending | Queued | - | - | Announcement platform |
| CoinGecko | announcements@coingecko.com | 2026-01-26 | Pending | Queued | - | - | Announcement platform |
| Crypto.com | press@crypto.com | 2026-01-26 | Pending | Queued | - | - | Exchange blog |
| Binance | press@binance.com | 2026-01-26 | Pending | Queued | - | - | Major exchange |
| KuCoin | press@kucoin.com | 2026-01-26 | Pending | Queued | - | - | Growing exchange |
